userID,userType,isVerified,isActive,username,password,firstName,lastName,email,phone,occupation,roleID,campID
0,admin,True,True,admin,$5$rounds=535000$fB6tPHX7jLAJJ3gR$5bZTwnzxp7sOdTDmA9uHS5cAyipKBPmWsYFhqV7GJL1,adminFirstName,adminLastName,adminEmail,2013356756,adminOccupation,0,0
1,volunteer,True,True,volunteer1,$5$rounds=535000$fB6tPHX7jLAJJ3gR$5bZTwnzxp7sOdTDmA9uHS5cAyipKBPmWsYFhqV7GJL1,volunteer1FirstName,volunteer1LastName,volunteer1Email,7786471235,engineer,10,7
2,volunteer,True,True,volunteer2,$5$rounds=535000$fB6tPHX7jLAJJ3gR$5bZTwnzxp7sOdTDmA9uHS5cAyipKBPmWsYFhqV7GJL1,volunteer2FirstName,volunteer2LastName,volunteer2Email,7707654321,volunteer2Occupation,0,1
3,volunteer,True,True,volunteer3,$5$rounds=535000$fB6tPHX7jLAJJ3gR$5bZTwnzxp7sOdTDmA9uHS5cAyipKBPmWsYFhqV7GJL1,HeyFirst,TestLast,volunteer3Email,7786471235,babysitter,3,2
4,volunteer,True,True,Volunteer4,$5$rounds=535000$fB6tPHX7jLAJJ3gR$5bZTwnzxp7sOdTDmA9uHS5cAyipKBPmWsYFhqV7GJL1,firstfour,lastfour,example@testing.com,7786471235,jobfour,0,2
5,admin,True,True,a11,$5$rounds=535000$fB6tPHX7jLAJJ3gR$5bZTwnzxp7sOdTDmA9uHS5cAyipKBPmWsYFhqV7GJL1,admin2FirstName,admin2LastName,admin2Email,2012345678,admin2Occupation,0,0
6,volunteer,True,True,Benny,$5$rounds=535000$fB6tPHX7jLAJJ3gR$5bZTwnzxp7sOdTDmA9uHS5cAyipKBPmWsYFhqV7GJL1,Benny,Magician,bennylao@hotmail.com,7787571235,Teacher,1,4
7,volunteer,True,True,bennylao,$5$rounds=535000$fB6tPHX7jLAJJ3gR$5bZTwnzxp7sOdTDmA9uHS5cAyipKBPmWsYFhqV7GJL1,chon benny,lao lao,bennylll@gmaill.com,12344333,sdkljf,0,4
8,volunteer,True,True,yuan2,$5$rounds=535000$Uu9FLSmOsTWz2Gwj$RFXwQRg6OfslJZ9ZaonNR3lXC72NVsPacykn8CV4Sj4,Yuan,Hu,huyuanZ@163.com,123,student,0,3
9,volunteer,True,True,bennny,$5$rounds=535000$aJaBbtm3.6O1iNYV$Z1j3TuN8q4k0RzayQyDpTkTvwWTYkET7P1oQTOkBKP7,lskdajf,sdklfjds,slkjdfh@gail.com,23423423,sjkdhf,0,5
10,volunteer,True,False,abc123,$5$rounds=535000$9raxCTudqbQHCeu7$/UiXNVWHdwNIHEiG0z842yk/TnV574LzYL/AEVRtfoA,slkdafj,sdlkfjksd,slkdjhf@gm.com,234324,sdlkjaf,0,6
11,volunteer,True,True,vvv,$5$rounds=535000$Uk8RqcVDfN0B./CE$F0FtkWFDLgEjubQNgAn9oa16WrE5Nuh6VP0i5huu9Z8,benny,lao,lsadkjf@gmail.com,124124123,scientist,0,7
12,volunteer,True,True,asdlkfsa,$5$rounds=535000$T4XnJSNqek.Ekda.$kGSpuOiA3I/gh3gqzHDt1CIjtpOft/S8T.TBI5ZCIx8,sladhksldf,skadfj,skjadh@gmail.com,2314234,sdfaasd,0,8
13,volunteer,True,True,volunteer5,$5$rounds=535000$BAASdyBCklGYPYc3$/puKCJO6zncb.OMB0/wrx0ece0WiL3avvokRe8WCAA7,helen,helens,helens@gmail.com,12345678,doctor,0,9
14,volunteer,True,True,volunteer6,$5$rounds=535000$zVXIGQDcCCtXPlSa$zGkfETl.yklYTL2YgPZ5hjN9fgtQzI3zfynBqIEqFeB,martha,test,test@test.com,123456,student,10,10
15,volunteer,True,True,volunteer7,$5$rounds=535000$YHL.MRjU1ISUnt4e$hlf/FEVCJNLDFkk.9B1Rffi.B1COEIHnI2yqICkN538,martha,test,test@test.com,1234567,teacher,8,11
16,volunteer,True,True,volunteer8,$5$rounds=535000$AxMBs.tslx6rUfx8$RKuWRJ6H9cVIbXWyEIpZeStCj65boB3kW6aGZQBGX24,test,test,test@gmail.com,12345,student,1,12
17,volunteer,True,True,volunteer9,$5$rounds=535000$ywrBLAKxLYKwZ0k3$mJeYYAmTjTlR0f52Byo54LrdiRqfeeTvVynDGRgU/eD,test,test,test@gmail.com,1234567,cleaner,4,13
18,volunteer,True,True,volunteer10,$5$rounds=535000$fB6tPHX7jLAJJ3gR$5bZTwnzxp7sOdTDmA9uHS5cAyipKBPmWsYFhqV7GJL1,test,test,admin2Email,2012345678,doctor,5,14
19,volunteer,True,True,volunteer11,$5$rounds=535000$fB6tPHX7jLAJJ3gR$5bZTwnzxp7sOdTDmA9uHS5cAyipKBPmWsYFhqV7GJL1,test,test,admin2Email,2012345678,doctor,6,15
20,volunteer,True,True,volunteer12,$5$rounds=535000$fB6tPHX7jLAJJ3gR$5bZTwnzxp7sOdTDmA9uHS5cAyipKBPmWsYFhqV7GJL1,test,test,admin2Email,2012345678,doctor,8,16
21,volunteer,True,True,volunteer13,$5$rounds=535000$fB6tPHX7jLAJJ3gR$5bZTwnzxp7sOdTDmA9uHS5cAyipKBPmWsYFhqV7GJL1,test,test,admin2Email,2012345678,doctor,9,17
22,volunteer,True,True,volunteer14,$5$rounds=535000$fB6tPHX7jLAJJ3gR$5bZTwnzxp7sOdTDmA9uHS5cAyipKBPmWsYFhqV7GJL1,test,test,admin2Email,2012345678,doctor,1,18
